Segundo,Pose
62.800000,OTRO
62.900000,OTRO
63.000000,OTRO
63.100000,BRAZOS_CRUZADOS
63.200000,BRAZOS_CRUZADOS
63.300000,BRAZOS_CRUZADOS
63.400000,BRAZOS_CRUZADOS
63.500000,BRAZOS_CRUZADOS
63.600000,BRAZOS_CRUZADOS
63.700000,OTRO
63.800000,OTRO
63.900000,OTRO
64.000000,OTRO
64.100000,BRAZOS_CRUZADOS
64.200000,OTRO
64.300000,OTRO
64.400000,OTRO
64.500000,OTRO
64.600000,OTRO
64.700000,OTRO
64.800000,OTRO
64.900000,OTRO
65.000000,OTRO
65.100000,OTRO
65.200000,OTRO
65.300000,OTRO
65.400000,OTRO
65.500000,OTRO
65.600000,OTRO
65.700000,OTRO
65.800000,OTRO
65.900000,OTRO
66.000000,OTRO
66.100000,BRAZOS_CRUZADOS
66.200000,BRAZOS_CRUZADOS
66.300000,BRAZOS_CRUZADOS
66.400000,BRAZOS_CRUZADOS
